"l","a","b","u"
0.59,0.0512,0.028,1.17376354055028
0.69,0.0512,0.028,1.27004870517277
0.79,0.0512,0.028,2.01642786706551
0.89,0.0512,0.028,3.17512036605763
0.09,0.1512,0.028,4.32839275523095
0.19,0.1512,0.028,2.54428933427581
0.29,0.1512,0.028,1.34780478563949
0.39,0.1512,0.028,1.09359012630584
0.49,0.1512,0.028,1.20442495191872
0.59,0.1512,0.028,1.11096616681412
0.69,0.1512,0.028,1.2072513314366
0.79,0.1512,0.028,1.95363049332934
0.89,0.1512,0.028,3.11232299232147
0.09,0.2512,0.028,3.94448883126557
0.19,0.2512,0.028,2.16038541031042
0.29,0.2512,0.028,0.963900861674106
0.39,0.2512,0.028,0.709686202340459
0.49,0.2512,0.028,0.820521027953334
0.59,0.2512,0.028,0.727062242848735
0.69,0.2512,0.028,0.823347407471216
0.79,0.2512,0.028,1.56972656936396
0.89,0.2512,0.028,2.72841906835608
0.09,0.3512,0.028,3.53934008075335
0.19,0.3512,0.028,1.75523665979821
0.29,0.3512,0.028,0.558752111161894
0.39,0.3512,0.028,0.304537451828246
0.49,0.3512,0.028,0.415372277441121
0.59,0.3512,0.028,0.321913492336523
0.69,0.3512,0.028,0.418198656959003
0.79,0.3512,0.028,1.16457781885174
0.89,0.3512,0.028,2.32327031784387
0.09,0.4512,0.028,3.33961319866835
0.19,0.4512,0.028,1.55550977771321
0.29,0.4512,0.028,0.359025229076891
0.39,0.4512,0.028,0.104810569743243
0.49,0.4512,0.028,0.215645395356118
0.59,0.4512,0.028,0.12218661025152
0.69,0.4512,0.028,0.218471774874
0.79,0.4512,0.028,0.964850936766741
0.89,0.4512,0.028,2.12354343575887
0.09,0.5512,0.028,3.27919476515113
0.19,0.5512,0.028,1.49509134419599
0.29,0.5512,0.028,0.298606795559675
0.39,0.5512,0.028,0.0443921362260273
0.49,0.5512,0.028,0.155226961838902
0.59,0.5512,0.028,0.0617681767343037
0.69,0.5512,0.028,0.158053341356784
0.79,0.5512,0.028,0.904432503249525
0.89,0.5512,0.028,2.06312500224165
0.09,-0.4488,0.128,1.92485809634442
0.19,-0.4488,0.128,0.140754675389281
0.29,-0.4488,0.128,-1.05572987324703
0.39,-0.4488,0.128,-1.30994453258068
0.49,-0.4488,0.128,-1.19910970696781
0.59,-0.4488,0.128,-1.29256849207241
0.69,-0.4488,0.128,-1.19628332744992
0.79,-0.4488,0.128,-0.449904165557184
0.89,-0.4488,0.128,0.708788333434943
0.09,-0.3488,0.128,2.32905587731792
0.19,-0.3488,0.128,0.544952456362779
0.29,-0.3488,0.128,-0.651532092273536
0.39,-0.3488,0.128,-0.905746751607184
0.49,-0.3488,0.128,-0.794911925994309
0.59,-0.3488,0.128,-0.888370711098907
0.69,-0.3488,0.128,-0.792085546476427
0.79,-0.3488,0.128,-0.0457063845836858
0.89,-0.3488,0.128,1.11298611440844
0.09,-0.2488,0.128,2.8832463008776
0.19,-0.2488,0.128,1.09914287992245
